Drivers, Profundidad, Ancho de palabra, Tiempo_promedio [ns], Ancho_de_banda [bits/s]
10,12,32,530,6.03774e+08
10,12,32,480,6.66667e+08
10,12,32,540,5.92593e+08
10,12,32,2945,1.08659e+08
10,12,32,3676,8.70511e+07
10,12,32,0,0
10,12,32,1748,1.83066e+08
10,12,32,940,3.40426e+08
10,12,32,0,0
10,12,32,0,0
10,8,32,410,7.80488e+08
10,8,32,923,3.46696e+08
10,8,32,460,6.95652e+08
10,8,32,3435,9.31587e+07
10,8,32,3809,8.40116e+07
10,8,32,0,0
10,8,32,380,8.42105e+08
10,8,32,500,6.4e+08
10,8,32,425,7.52941e+08
10,8,32,0,0
2,16,32,390,8.20513e+08
2,16,32,800,4e+08
2,16,32,500,6.4e+08
2,16,32,986,3.24544e+08
2,16,32,1100,2.90909e+08
2,16,32,0,0
2,16,32,0,0
2,16,32,635,5.03937e+08
2,16,32,533,6.00375e+08
2,16,32,0,0
15,1,32,580,5.51724e+08
15,1,32,540,5.92593e+08
15,1,32,630,5.07937e+08
15,1,32,3122,1.02498e+08
15,1,32,3066,1.04371e+08
15,1,32,0,0
15,1,32,570,5.61404e+08
15,1,32,0,0
15,1,32,660,4.84848e+08
15,1,32,0,0
4,15,32,390,8.20513e+08
4,15,32,1084,2.95203e+08
4,15,32,0,0
4,15,32,1047,3.05635e+08
4,15,32,1520,2.10526e+08
4,15,32,0,0
4,15,32,1320,2.42424e+08
4,15,32,1291,2.4787e+08
4,15,32,450,7.11111e+08
4,15,32,0,0
4,15,32,440,7.27273e+08
4,15,32,1186,2.69815e+08
4,15,32,380,8.42105e+08
4,15,32,1688,1.89573e+08
4,15,32,1280,2.5e+08
4,15,32,0,0
4,15,32,430,7.44186e+08
4,15,32,585,5.47009e+08
4,15,32,615,5.20325e+08
4,15,32,0,0
3,6,32,390,8.20513e+08
3,6,32,666,4.8048e+08
3,6,32,570,5.61404e+08
3,6,32,720,4.44444e+08
3,6,32,920,3.47826e+08
3,6,32,0,0
3,6,32,0,0
3,6,32,673,4.75483e+08
3,6,32,660,4.84848e+08
3,6,32,0,0
16,16,32,510,6.27451e+08
16,16,32,2194,1.45852e+08
16,16,32,720,4.44444e+08
16,16,32,4628,6.91443e+07
16,16,32,6077,5.26576e+07
16,16,32,0,0
16,16,32,1495,2.14047e+08
16,16,32,1090,2.93578e+08
16,16,32,490,6.53061e+08
16,16,32,0,0
9,8,32,390,8.20513e+08
9,8,32,540,5.92593e+08
9,8,32,610,5.2459e+08
9,8,32,3141,1.01878e+08
9,8,32,3417,9.36494e+07
9,8,32,0,0
9,8,32,1455,2.19931e+08
9,8,32,0,0
9,8,32,410,7.80488e+08
9,8,32,0,0
6,7,32,390,8.20513e+08
6,7,32,1000,3.2e+08
