pckg, tiempo_envio [ns], tiempo_recibido [ns], terminal_envio, terminal_recibido, latencia [ns], profunidad, drivers
05535242,1065,1595,2,5,530,12,10
0195e814,12085,12565,0,1,480,12,10
0297b0d1,23065,23585,1,2,520,12,10
09df78c1,23555,24115,1,9,560,12,10
05de9f98,34015,34445,4,5,430,12,10
07cdb8f3,34385,34805,5,7,420,12,10
00724c68,34105,35165,6,0,1060,12,10
038495c9,34665,35885,8,3,1220,12,10
01a4ec52,34585,36245,9,1,1660,12,10
032d6123,34285,36605,0,3,2320,12,10
00784c53,34125,36965,1,0,2840,12,10
03ff7e57,34175,37325,2,3,3150,12,10
07272778,34185,37685,3,7,3500,12,10
0107ae83,34545,38055,5,1,3510,12,10
06f62634,34845,38425,7,6,3580,12,10
07b582d9,34755,38785,8,7,4030,12,10
063870a5,34925,39145,9,6,4220,12,10
01b22803,34975,39505,0,1,4530,12,10
05069f27,34415,39865,1,5,5450,12,10
08421206,35035,40235,3,8,5200,12,10
059650a5,135005,135385,5,5,380,12,10
00513ae7,135005,135745,7,0,740,12,10
08c4bd97,135005,136105,7,8,1100,12,10
0333ed03,135005,136465,3,3,1460,12,10
089e7396,135005,136825,6,8,1820,12,10
02ff29c6,135005,137185,6,2,2180,12,10
038db5a4,135005,137545,4,3,2540,12,10
00fcf0e3,135005,137905,3,0,2900,12,10
07bc4b84,135005,138265,4,7,3260,12,10
08ccc9d3,135005,138625,3,8,3620,12,10
02265b63,135005,138985,3,2,3980,12,10
00a4b156,135005,139345,6,0,4340,12,10
06e37893,135005,139705,3,6,4700,12,10
035007e1,135005,140065,1,3,5060,12,10
09f38866,135005,140425,6,9,5420,12,10
09b36cb9,135005,140785,9,9,5780,12,10
05e8a384,135005,141505,4,5,6500,12,10
05b49ca1,135005,141865,1,5,6860,12,10
05572cf6,135005,142225,6,5,7220,12,10
03530c76,337205,337815,6,3,610,12,10
06cd9287,337095,338175,7,6,1080,12,10
077e4088,337225,338535,8,7,1310,12,10
030042d0,337115,338905,0,3,1790,12,10
097a6fd6,337325,340035,6,9,2710,12,10
007901c1,337475,340465,1,0,2990,12,10
04567865,438025,438505,5,4,480,12,10
09ea7666,438225,438865,6,9,640,12,10
07408da8,438055,439235,8,7,1180,12,10
067c63d9,438135,439595,9,6,1460,12,10
03535247,1085,1495,7,3,410,8,10
044d6091,12115,12545,9,4,430,8,10
0495e818,12055,12915,1,4,860,8,10
04056638,12185,13665,5,4,1480,8,10
07284650,23105,23565,0,7,460,8,10
053e3010,34165,34565,0,5,400,8,10
067cd0d1,34255,34935,2,6,680,8,10
00752122,34095,35295,3,0,1200,8,10
02de9f96,34575,35655,4,2,1080,8,10
09069f20,34835,36375,6,9,1540,8,10
01ff7e52,34775,36735,7,1,1960,8,10
00724c60,34595,37095,8,0,2500,8,10
04457ed8,34435,37815,0,4,3380,8,10
04784c56,34675,38175,1,4,3500,8,10
072d6125,34805,38535,2,7,3730,8,10
0207ae82,34965,38895,3,2,3930,8,10
08421200,35605,39255,4,8,3650,8,10
01726658,35335,39615,5,1,4280,8,10
0262ad52,35995,39975,6,2,3980,8,10
07572cf0,36225,41055,9,7,4830,8,10
0214c3c0,36465,41415,0,2,4950,8,10
0430aca3,36405,41775,1,4,5370,8,10
030f3788,36815,42135,2,3,5320,8,10
02b34d88,36735,42495,3,2,5760,8,10
09e618a3,36555,43215,5,9,6660,8,10
02241850,135005,135385,0,2,380,8,10
05307621,135005,135745,1,5,740,8,10
07bc05b6,135005,136105,6,7,1100,8,10
08ccec25,135005,136465,5,8,1460,8,10
0328f1f4,135005,136825,4,3,1820,8,10
07563583,135005,137185,3,7,2180,8,10
019a82f3,135005,137545,3,1,2540,8,10
01fc1295,135005,137905,5,1,2900,8,10
0340cd03,135005,138265,3,3,3260,8,10
0699bf15,135005,138985,5,6,3980,8,10
084569f5,135005,139345,5,8,4340,8,10
0612f967,135005,139705,7,6,4700,8,10
095816d7,135005,140065,7,9,5060,8,10
012ae3f5,135005,140425,5,1,5420,8,10
00617734,135005,140785,4,0,5780,8,10
0291ae60,135005,141145,0,2,6140,8,10
03119796,135005,141505,6,3,6500,8,10
07f72fd7,135005,141865,7,7,6860,8,10
0579a0b5,135005,142225,5,5,7220,8,10
039e94e5,337085,337465,5,3,380,8,10
041340a8,438045,438545,8,4,500,8,10
07fb9b64,539075,539455,4,7,380,8,10
01f2c046,539515,539985,6,1,470,8,10
00535241,1065,1455,1,0,390,16,2
0095e810,12085,12465,1,0,380,16,2
007cd0d1,12465,13185,1,0,720,16,2
00457ed1,12605,13905,1,0,1300,16,2
00de9f91,23085,23465,1,0,380,16,2
002d6121,23415,23845,1,0,430,16,2
00b582d1,23915,24605,1,0,690,16,2
00726650,34035,34425,1,0,390,16,2
0003e960,34395,35145,1,0,750,16,2
00572cf0,34855,35865,1,0,1010,16,2
0150deb0,35455,36225,0,1,770,16,2
00a12891,35445,36585,1,0,1140,16,2
00a12891,35445,37305,1,0,1860,16,2
01a4b150,135005,135745,0,1,740,16,2
0133ed01,135005,136465,1,1,1460,16,2
01a0c8e0,438165,438685,0,1,520,16,2
00dbc261,438295,439045,1,0,750,16,2
018fdf70,539095,539485,0,1,390,16,2
016adab0,539765,540165,0,1,400,16,2
0090b2a1,539715,540525,1,0,810,16,2
