paquete,tiempo_envio,tiempo_recibido,emisor,receptor,latencia,p_fifo
00032237,145,175,2,2,30,5
0001026d,155,295,3,0,140,5
00032237,145,295,2,2,150,5
00032237,145,415,2,2,270,5
0001026d,155,515,3,0,360,5
00032237,145,535,2,2,390,5
0001026d,155,635,3,0,480,5
00032237,145,655,2,2,510,5
0001026d,155,755,3,0,600,5
00032237,145,775,2,2,630,5
0001026d,155,875,3,0,720,5
00032237,145,895,2,2,750,5
0001026d,155,995,3,0,840,5
00032237,145,1015,2,2,870,5
0001026d,155,1115,3,0,960,5
00032237,145,1135,2,2,990,5
0001026d,155,1235,3,0,1080,5
00032237,145,1255,2,2,1110,5
0001026d,155,1355,3,0,1200,5
00032237,145,1375,2,2,1230,5
0001026d,155,1475,3,0,1320,5
00032237,145,1495,2,2,1350,5
0001026d,155,1595,3,0,1440,5
00032237,145,1615,2,2,1470,5
0001026d,155,1715,3,0,1560,5
00032237,145,1735,2,2,1590,5
0001026d,155,1835,3,0,1680,5
00032237,145,1855,2,2,1710,5
0001026d,155,1955,3,0,1800,5
00032237,145,1975,2,2,1830,5
0001026d,155,2075,3,0,1920,5
00032237,145,2095,2,2,1950,5
00015d0e,155,245,4,0,90,4
00015d0e,155,345,4,0,190,4
00015d0e,155,445,4,0,290,4
00015d0e,155,545,4,0,390,4
00015d0e,155,645,4,0,490,4
00015d0e,155,745,4,0,590,4
00015d0e,155,845,4,0,690,4
00015d0e,155,945,4,0,790,4
00015d0e,155,1045,4,0,890,4
00015d0e,155,1145,4,0,990,4
00015d0e,155,1245,4,0,1090,4
00015d0e,155,1345,4,0,1190,4
00015d0e,155,1445,4,0,1290,4
00015d0e,155,1545,4,0,1390,4
00015d0e,155,1645,4,0,1490,4
00015d0e,155,1745,4,0,1590,4
00015d0e,155,1845,4,0,1690,4
00015d0e,155,1945,4,0,1790,4
00015d0e,155,2045,4,0,1890,4
00015d0e,155,2145,4,0,1990,4
000129c6e7,145,255,0,1,110,4
000129c6e7,145,365,0,1,220,4
000129c6e7,145,465,0,1,320,4
000129c6e7,145,565,0,1,420,4
000129c6e7,145,665,0,1,520,4
000129c6e7,145,765,0,1,620,4
000129c6e7,145,865,0,1,720,4
000129c6e7,145,965,0,1,820,4
000129c6e7,145,1065,0,1,920,4
000129c6e7,145,1165,0,1,1020,4
000129c6e7,145,1265,0,1,1120,4
000129c6e7,145,1365,0,1,1220,4
000129c6e7,145,1465,0,1,1320,4
000129c6e7,145,1565,0,1,1420,4
000129c6e7,145,1665,0,1,1520,4
000129c6e7,145,1765,0,1,1620,4
000129c6e7,145,1865,0,1,1720,4
000129c6e7,145,1965,0,1,1820,4
000129c6e7,145,2065,0,1,1920,4
000022ec1f,145,375,13,0,230,4
000022ec1f,145,655,13,0,510,4
000022ec1f,145,755,13,0,610,4
