Package,t_envio,t_recibido,emisor,receptor,latencia,p_fifo
0004128d,105,525,9,3,420,16
0004128d,105,525,9,3,420,16
0002e120,100275,100355,2,1,80,16
0002ce61,100305,100615,8,1,310,16
00011274,100395,100695,6,0,300,16
0002ad23,100485,100915,8,1,430,16
0004128d,105,525,9,3,420,16
0002e120,100275,100355,2,1,80,16
0002ce61,100305,100615,8,1,310,16
00011274,100395,100695,6,0,300,16
0002ad23,100485,100915,8,1,430,16
00047501,200435,200475,3,3,40,16
00030062,200375,200595,14,2,220,16
000445cd,200455,200625,15,3,170,16
000344d6,200575,200805,13,2,230,16
0003c954,200495,200865,14,2,370,16
0004fb27,200755,200995,11,3,240,16
000116fc,200925,201015,1,0,90,16
00044462,200665,201035,4,3,370,16
00022ebb,200825,201065,9,1,240,16
0002f800,200955,201215,12,1,260,16
00024e85,201005,201255,6,1,250,16
000291d5,201215,201315,1,1,100,16
00040f2e,200875,201385,7,3,510,16
00018c99,201065,201465,9,0,400,16
00010bb9,201245,201595,12,0,350,16
000476df,201155,201715,9,3,560,16
0004128d,105,525,9,3,420,16
0002e120,100275,100355,2,1,80,16
0002ce61,100305,100615,8,1,310,16
00011274,100395,100695,6,0,300,16
0002ad23,100485,100915,8,1,430,16
00047501,200435,200475,3,3,40,16
00030062,200375,200595,14,2,220,16
000445cd,200455,200625,15,3,170,16
000344d6,200575,200805,13,2,230,16
0003c954,200495,200865,14,2,370,16
0004fb27,200755,200995,11,3,240,16
000116fc,200925,201015,1,0,90,16
00044462,200665,201035,4,3,370,16
00022ebb,200825,201065,9,1,240,16
0002f800,200955,201215,12,1,260,16
00024e85,201005,201255,6,1,250,16
000291d5,201215,201315,1,1,100,16
00040f2e,200875,201385,7,3,510,16
00018c99,201065,201465,9,0,400,16
00010bb9,201245,201595,12,0,350,16
000476df,201155,201715,9,3,560,16
0001adbf,300405,300705,14,0,300,16
00022e54,300425,300705,9,1,280,16
00036668,300625,300765,12,2,140,16
0001c5f9,300675,300785,4,0,110,16
00025c7d,300405,300785,5,1,380,16
0002f20c,300515,300865,13,1,350,16
00036386,300865,300965,3,2,100,16
000290bf,300765,301005,6,1,240,16
0004c54b,300605,301015,5,3,410,16
00031326,300765,301025,1,2,260,16
0003601c,300945,301215,10,2,270,16
00047d21,300765,301225,1,3,460,16
00046dc6,301025,301345,4,3,320,16
0004e6b0,300815,301445,7,3,630,16
0004128d,105,525,9,3,420,16
0002e120,100275,100355,2,1,80,16
0002ce61,100305,100615,8,1,310,16
00011274,100395,100695,6,0,300,16
0002ad23,100485,100915,8,1,430,16
00047501,200435,200475,3,3,40,16
00030062,200375,200595,14,2,220,16
000445cd,200455,200625,15,3,170,16
000344d6,200575,200805,13,2,230,16
0003c954,200495,200865,14,2,370,16
0004fb27,200755,200995,11,3,240,16
000116fc,200925,201015,1,0,90,16
00044462,200665,201035,4,3,370,16
00022ebb,200825,201065,9,1,240,16
0002f800,200955,201215,12,1,260,16
00024e85,201005,201255,6,1,250,16
000291d5,201215,201315,1,1,100,16
00040f2e,200875,201385,7,3,510,16
00018c99,201065,201465,9,0,400,16
00010bb9,201245,201595,12,0,350,16
000476df,201155,201715,9,3,560,16
0001adbf,300405,300705,14,0,300,16
00022e54,300425,300705,9,1,280,16
00036668,300625,300765,12,2,140,16
0001c5f9,300675,300785,4,0,110,16
00025c7d,300405,300785,5,1,380,16
0002f20c,300515,300865,13,1,350,16
00036386,300865,300965,3,2,100,16
000290bf,300765,301005,6,1,240,16
0004c54b,300605,301015,5,3,410,16
00031326,300765,301025,1,2,260,16
0003601c,300945,301215,10,2,270,16
00047d21,300765,301225,1,3,460,16
00046dc6,301025,301345,4,3,320,16
0004e6b0,300815,301445,7,3,630,16
0003102e,400585,400665,3,2,80,16
000236ac,400645,400825,4,1,180,16
000103ff,400695,400915,13,0,220,16
000336f8,400695,400975,0,2,280,16
0002ffc5,400825,401105,3,1,280,16
0003c4e1,401025,401115,1,2,90,16
0001de1c,400975,401195,5,0,220,16
0002d45b,401075,401225,2,1,150,16
000403eb,400765,401225,7,3,460,16
000390ca,400875,401235,6,2,360,16
0003d6dc,400965,401435,7,2,470,16
00013d02,401125,401605,15,0,480,16
00037ff3,165,385,14,2,220,23
00037ff3,165,385,14,2,220,23
0004843b,100375,100415,3,3,40,23
0004d309,100425,100525,3,3,100,23
00032ad0,100215,100535,5,2,320,23
000105e9,100375,100575,5,0,200,23
00025478,100235,100575,5,1,340,23
00035ecd,100295,100575,4,2,280,23
0003edcc,100555,100615,2,2,60,23
000118b7,100285,100695,11,0,410,23
0002a461,100455,100715,14,1,260,23
0001c51e,100665,100735,4,0,70,23
00048c35,100585,100745,13,3,160,23
00047062,100625,100785,1,3,160,23
0003df60,100635,100885,14,2,250,23
0002a983,100535,100895,10,1,360,23
00031b7d,100455,100925,7,2,470,23
00020348,100585,100935,8,1,350,23
0003b460,100755,101125,11,2,370,23
00037ff3,165,385,14,2,220,23
0004843b,100375,100415,3,3,40,23
0004d309,100425,100525,3,3,100,23
00032ad0,100215,100535,5,2,320,23
000105e9,100375,100575,5,0,200,23
00025478,100235,100575,5,1,340,23
00035ecd,100295,100575,4,2,280,23
0003edcc,100555,100615,2,2,60,23
000118b7,100285,100695,11,0,410,23
0002a461,100455,100715,14,1,260,23
0001c51e,100665,100735,4,0,70,23
00048c35,100585,100745,13,3,160,23
00047062,100625,100785,1,3,160,23
0003df60,100635,100885,14,2,250,23
0002a983,100535,100895,10,1,360,23
00031b7d,100455,100925,7,2,470,23
00020348,100585,100935,8,1,350,23
0003b460,100755,101125,11,2,370,23
0001bd2b,200385,200605,6,0,220,23
0001bdd3,200485,200695,12,0,210,23
00022f31,200715,200755,1,1,40,23
00037ff3,165,385,14,2,220,23
0004843b,100375,100415,3,3,40,23
0004d309,100425,100525,3,3,100,23
00032ad0,100215,100535,5,2,320,23
000105e9,100375,100575,5,0,200,23
00025478,100235,100575,5,1,340,23
00035ecd,100295,100575,4,2,280,23
0003edcc,100555,100615,2,2,60,23
000118b7,100285,100695,11,0,410,23
0002a461,100455,100715,14,1,260,23
0001c51e,100665,100735,4,0,70,23
00048c35,100585,100745,13,3,160,23
00047062,100625,100785,1,3,160,23
0003df60,100635,100885,14,2,250,23
0002a983,100535,100895,10,1,360,23
00031b7d,100455,100925,7,2,470,23
00020348,100585,100935,8,1,350,23
0003b460,100755,101125,11,2,370,23
0001bd2b,200385,200605,6,0,220,23
0001bdd3,200485,200695,12,0,210,23
00022f31,200715,200755,1,1,40,23
00028342,200445,200895,14,1,450,23
0002ecf0,200545,200995,10,1,450,23
000207b5,200825,201055,4,1,230,23
00015ac3,200755,201085,9,0,330,23
00031cf6,200995,201145,1,2,150,23
00019ca1,200525,201185,15,0,660,23
00036a38,200925,201245,7,2,320,23
0002463b,200625,201275,3,1,650,23
00030ff9,201195,201305,3,2,110,23
0003282c,201015,201345,15,2,330,23
000367e7,200855,201385,4,2,530,23
00029801,200485,201415,14,1,930,23
00015451,201145,201425,1,0,280,23
0004a7c0,201035,201495,1,3,460,23
000151ee,201385,201555,5,0,170,23
00028cc0,201015,201595,6,1,580,23
0001cb41,200805,201635,13,0,830,23
0002f266,201325,201655,11,1,330,23
00032d4b,201275,201685,10,2,410,23
0004f495,201055,201695,5,3,640,23
000273d7,201425,201775,10,1,350,23
000407f1,201195,201815,0,3,620,23
0001ac2a,201085,201825,10,0,740,23
0003ffcc,201155,201905,5,2,750,23
000494c4,300435,300555,2,3,120,23
0003493b,300615,300715,1,2,100,23
0004d7ea,300665,300835,14,3,170,23
000328df,300725,300845,12,2,120,23
0001ec47,300685,300905,5,0,220,23
00038126,300535,300905,8,2,370,23
00047186,300925,301015,12,3,90,23
00018aee,300525,301025,7,0,500,23
0004a076,300725,301055,4,3,330,23
0003ea94,300905,301135,1,2,230,23
00028a00,300835,301245,8,1,410,23
0003136e,300815,301255,4,2,440,23
0001f7c1,300795,301375,15,0,580,23
00048f1d,300935,301385,1,3,450,23
00045dc1,300905,301465,8,3,560,23
00037ff3,165,385,14,2,220,23
0004843b,100375,100415,3,3,40,23
0004d309,100425,100525,3,3,100,23
00032ad0,100215,100535,5,2,320,23
000105e9,100375,100575,5,0,200,23
00025478,100235,100575,5,1,340,23
00035ecd,100295,100575,4,2,280,23
0003edcc,100555,100615,2,2,60,23
000118b7,100285,100695,11,0,410,23
0002a461,100455,100715,14,1,260,23
0001c51e,100665,100735,4,0,70,23
00048c35,100585,100745,13,3,160,23
00047062,100625,100785,1,3,160,23
0003df60,100635,100885,14,2,250,23
0002a983,100535,100895,10,1,360,23
00031b7d,100455,100925,7,2,470,23
00020348,100585,100935,8,1,350,23
0003b460,100755,101125,11,2,370,23
0001bd2b,200385,200605,6,0,220,23
0001bdd3,200485,200695,12,0,210,23
00022f31,200715,200755,1,1,40,23
00028342,200445,200895,14,1,450,23
0002ecf0,200545,200995,10,1,450,23
000207b5,200825,201055,4,1,230,23
00015ac3,200755,201085,9,0,330,23
00031cf6,200995,201145,1,2,150,23
00019ca1,200525,201185,15,0,660,23
00036a38,200925,201245,7,2,320,23
0002463b,200625,201275,3,1,650,23
00030ff9,201195,201305,3,2,110,23
0003282c,201015,201345,15,2,330,23
000367e7,200855,201385,4,2,530,23
00029801,200485,201415,14,1,930,23
00015451,201145,201425,1,0,280,23
0004a7c0,201035,201495,1,3,460,23
000151ee,201385,201555,5,0,170,23
00028cc0,201015,201595,6,1,580,23
0001cb41,200805,201635,13,0,830,23
0002f266,201325,201655,11,1,330,23
00032d4b,201275,201685,10,2,410,23
0004f495,201055,201695,5,3,640,23
000273d7,201425,201775,10,1,350,23
000407f1,201195,201815,0,3,620,23
0001ac2a,201085,201825,10,0,740,23
0003ffcc,201155,201905,5,2,750,23
000494c4,300435,300555,2,3,120,23
0003493b,300615,300715,1,2,100,23
0004d7ea,300665,300835,14,3,170,23
000328df,300725,300845,12,2,120,23
0001ec47,300685,300905,5,0,220,23
00038126,300535,300905,8,2,370,23
00047186,300925,301015,12,3,90,23
00018aee,300525,301025,7,0,500,23
